Hotel Name,Ratings,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46
De-Santos Hotel,,Restaurant,Security,Wireless Internet,Air Conditioning,24 Electricity,Parking Garage,DSTV,Swimming Pool,Flatscreen TV,Restaurant,Toiletries,In House Dining,King sized bed,Fenced compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Domitiana,,Restaurant,Bar/Lounge,Security,Air Conditioning,24 Electricity,Adequate Parking,Continental Breakfast,Parking Garage,Video CheckOut,Dry Cleaning,DSTV,Air Conditioning,Telephone,Toiletries,Security Guard,Laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Park Hotel,,Adequate Parking Space,Security,Security Guard,Laundry,Dry Cleaning,Car Hire,Ironing,concierge,Air Conditioning,24 hours Electricity,Bar/Lounge,Lunch,Dinner,Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precious Garden Hotel,,Bar/Lounge,Security,Air Conditioning,24 Electricity,Adequate Parking,Parking Garage,Electronic Room Keys,Flatscreen TV,King sized bed,Fenced compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regia Luxuria Hotels & Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocity Hotels,,Restaurant,Bar/Lounge,Wireless Internet,Air Conditioning,Flatscreen TV,Banquet Hall,Multiple Channels cable TV,Laundry,24 hours Electricity,Meeting Rooms,Wardrobe,Study Desk,King sized bed,Conference facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tessco Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibuoye hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa-Park Hotel & Resorts,,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Flatscreen TV,Swimming Pool,Lawn Tennis,Adequate Parking,Bush Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunderland hotel,,Adequate Parking Space,Security,Security Guard,Room service 24h,Laundry,Dry Cleaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Santiago Milan Hotel & Suites,,Air Conditioning,Multiple Channels cable TV,Desk,Toiletries,Wardrobe,Hair Dryer,Coffee Tea Maker,Wireless Internet,Restaurant,Bar/Lounge,Swimming Pool,Spa treatment room(s),Gym,Elevator/Lift,Airport transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa Park Hotel,,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Flatscreen TV,Swimming Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durbar Hotel Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toland place hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suntex Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock View Hotel - Lounge Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock View Hotel - Dining Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockview Hotel,6.5,Restaurant,Bar/Lounge,Security,Wired Internet,Air Conditioning,24 Electricity,Adequate Parking,Event Hall,Room Service,DSTV,Air Conditioning,Telephone,Refrigerator,Toiletries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend Hotel Lagos Airport - Curio Collection ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Lodge Hotel & Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilford View Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelin Court Hotel,6.8,Restaurant,Bar/Lounge,Security,Wireless Internet,24 Electricity,Business Centre,Room Service,DSTV,HiTV,Air Conditioning,Refrigerator,Private Bathroom,In-room safe,Security Guard,Airport transportation,Car rental,Laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applegate Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cariton Hotels,,Toiletries,Adequate Parking,Security,Free WiFi,Luggage Storage,24 hour Front Desk,Tours/ticket assistance,Wardrobe,Telephone,Television,Dry cleaning/laundry service,Business Centre,Bar/Lounge,Restaurant,Barbecue grill(s),Refrigerator,Event Hall,Air Conditioning,Room Service,Car Hire,Swimming Pool,,,,,,,,,,,,,,,,,,,,,,,,,
Villa Park Hotels & Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Eff Hotels Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White castles Hotels ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becfom hotels,8,Restaurant,Security,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,Coffee Tea Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rex Hotels,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Sea Hotels,8.5,Bar/Lounge,24 hours Electricity,Adequate Parking,Laundry,Security Guard,Restaurant,Electric Fence,CCTV camera,Toiletries,Flatscreen TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tinapa Lakeside Hotel, Calabar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eko hotel,7.3,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Non Smoking Rooms,Swimming Pool,House Keeping,Room Service,DSTV,Air Conditioning,Refrigerator,Desk,Television,Toiletries,Security Guard,Fitness facilities,Flatscreen TV,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Ibis,8.1,Restaurant,Bar/Lounge,Security,Wireless Internet,Adequate Parking,Luggage Storage,Air Conditioning,Refrigerator,ATM,Room Service,Toiletries,Private Bathroom,DSTV,24 hour Front Desk,Swimming Pool,Gym,Security Guard,Dinner,Swimming Pool,Airport transportation,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Ibis Royale,6.8,Restaurant,Bar/Lounge,Wireless Internet,24 Electricity,DSTV,Car rental,Swimming Pool,POS,Laundry,Security Guard,Event Hall,Gym,CCTV camera,Toiletries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?bis Hotel Swimming Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Tulip Hotel Gym Ajao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel 1960 Prince of Anthony,7.7,Restaurant,Bar/Lounge,24 hours Electricity,Bar,House Keeping,Air Conditioning,Television,Jacuzzi,Security Guard,Room service 24h,Laundry,Multiple Channels cable TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limeridge Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jopatera Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gei8 hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splendour Hotel Suites,6.7,Restaurant,Restaurant,Bar/Lounge,Gift Shop,Security,Wireless Internet,Air Conditioning,24 Electricity,24 hours Electricity,Bar,Banquet Hall,Conference facility,Swimming Pool,Airport pickup,House Keeping,Room Service,Air Conditioning,Swimming Pool,ATM,Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Palms Hotel,8.3,Wireless Internet,Adequate Parking,Breakfast,Fitness facilities,Restaurant,Security,King sized bed,Spa treatment,Make Up Mirror,Wardrobe,Shower,Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britannaia Hotel,,Bar,Restaurant,Parking Garage,Adequate Parking Space,Airport transportation (surcharge),Car Hire,Dry cleaning/laundry service,Room Service,Air Conditioning,Non Smoking Rooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
